gene_symbol,Ncaph
mouse_life_stage,Early adult
analysis_id,88q4191ncn6i1bz
parameter_name,Alanine aminotransferase
pvalue,0.864183
gene_accession_id,MGI:2444777
mouse_strain,C57BL
parameter_id,IMPC_CBC_013_001
