parameter_name,Eye
analysis_id,7f65i60uw0s801e
mouse_strain,C57BL
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
pvalue,0.673168
mouse_life_stage,Early adult
parameter_id,M-G-P_013_001_001
