parameter_name,Response amplitude - S
pvalue,0.7873763
mouse_strain,C57BL
gene_symbol,Bcs1l
parameter_id,IMPC_ACS_006_001
analysis_id,83538odub4518fe
gene_accession_id,MGI:1914071
mouse_life_stage,E12.5
