mouse_life_stage,E12.5
parameter_id,M-G-P_008_001_013
gene_accession_id,MGI:88174
analysis_id,i8489wv88ql3l33
pvalue,1.131378
parameter_name,Startle Response
gene_symbol,Bmi1
mouse_strain,C57BL
