parameter_name,Bone Mineral Content
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1331796
gene_accession_id,MGI:109384
parameter_id,ESLIM_005_001_005
analysis_id,jja56g9eokhsxf2
gene_symbol,Atf3
