mouse_life_stage,Late adult
gene_symbol,Nucks1
parameter_name,Head morphology
gene_accession_id,MGI:1934811
pvalue,0.5128155
mouse_strain,C57BL
analysis_id,5g260e9ts151nlo
parameter_id,MGP_CSD_064_001
