analysis_id,0sfn274s99v3j92
gene_symbol,Mapkap1
mouse_strain,C57BL
parameter_id,IMPC_XRY_007_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2444554
pvalue,0.5231083
parameter_name,Clavicle
