analysis_id,502k8b8913x18g5
mouse_strain,C3H
gene_accession_id,MGI:95457
pvalue,0.5819253
parameter_name,Blood Vessel Morphology
gene_symbol,Mecom
parameter_id,IMPC_GEO_011_001
mouse_life_stage,Early adult
