analysis_id,ryo63s2y21x588h
pvalue,0.6752186
parameter_id,MGP_MLN_014_001
gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_name,Resting CD8+ T cells - % of CD8+
