parameter_name,center - distance
mouse_life_stage,Early adult
parameter_id,M-G-P_007_001_010
pvalue,0.5796536
gene_accession_id,MGI:99915
mouse_strain,C57BL
analysis_id,z46094s042w402v
gene_symbol,Lamb3
