gene_symbol,Kdm5b
gene_accession_id,MGI:1922855
parameter_id,IMPC_IMM_051_001
parameter_name,Monocytes
mouse_strain,C57BL
analysis_id,3m96x48p9e43p0q
mouse_life_stage,Early adult
pvalue,0.505955
