mouse_life_stage,Middle aged adult
gene_symbol,Hpca
parameter_id,IMPC_CSD_047_001
parameter_name,Hindlimb digit - size
mouse_strain,C57BL
pvalue,0.1409718
analysis_id,hvp50irh41384k7
gene_accession_id,MGI:1336200
