analysis_id,y5485ootlbkz5j5
gene_accession_id,MGI:97054
gene_symbol,Mov10
pvalue,7.212013e-05
parameter_name,Retinal Blood Vessels Pattern
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_EYE_026_001
