analysis_id,4k85k3u2x2239iu
mouse_life_stage,E9.5
gene_accession_id,MGI:1328306
mouse_strain,C57BL
parameter_name,Body weight
pvalue,0.9791638
gene_symbol,Orc2
parameter_id,M-G-P_009_001_003
