analysis_id,82n8059osv860ah
pvalue,0.949976
parameter_id,MGP_MLN_031_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Opn3
parameter_name,Total NK cells - % of CD45+
gene_accession_id,MGI:1338022
