parameter_id,JAXLA_HBD_001_001
mouse_life_stage,Early adult
pvalue,0.3302239
mouse_strain,C57BL
analysis_id,wtwbkwi343qv2vn
gene_symbol,Ncaph
gene_accession_id,MGI:2444777
parameter_name,Total holepokes
