analysis_id,gfs7j1b6dy75kub
mouse_life_stage,Early adult
pvalue,0.8681747
parameter_name,Periphery distance travelled
gene_symbol,Sgip1
gene_accession_id,MGI:1920344
mouse_strain,C57BL
parameter_id,ESLIM_007_001_006
