gene_symbol,Wars2
mouse_life_stage,E12.5
pvalue,0.2135448
mouse_strain,C57BL
gene_accession_id,MGI:1917810
parameter_id,JAX_LDT_003_001
parameter_name,Time mobile light side
analysis_id,u7149q7k479ig9k
