gene_symbol,Abo
parameter_name,B2B Cells
pvalue,0.3085765
parameter_id,IMPC_IMM_065_001
analysis_id,6q78cuj4350a11l
mouse_strain,C57BL
gene_accession_id,MGI:2135738
mouse_life_stage,Early adult
