gene_symbol,Usp37
analysis_id,7td051om967569r
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3893799
parameter_id,IMPC_GEO_009_002
parameter_name,Hemorrhage
gene_accession_id,MGI:2442483
