analysis_id,dle39su5g0akj33
gene_accession_id,MGI:1914309
parameter_name,12kHz-evoked ABR Threshold
gene_symbol,Ola1
mouse_life_stage,E18.5
pvalue,0.1453979
mouse_strain,C57BL
parameter_id,IMPC_ABR_006_001
