gene_symbol,Steap3
pvalue,0.9951383
mouse_strain,C57BL
analysis_id,1a65ta2s6c62q4a
mouse_life_stage,Early adult
parameter_name,NK Subsets (Q2)
gene_accession_id,MGI:1915678
parameter_id,IMPC_IMM_055_001
