parameter_name,Haemoglobin
gene_symbol,Col6a3
analysis_id,v7205481243zm5q
gene_accession_id,MGI:88461
pvalue,0.7687933
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ESLIM_016_001_003
