parameter_name,Total holepokes
analysis_id,6078rj1s31909c3
mouse_strain,C57BL
gene_accession_id,MGI:2444113
gene_symbol,NEMP2
pvalue,0.6662861
parameter_id,JAXLA_HBD_001_001
mouse_life_stage,Early adult
