analysis_id,o166280hp6e4hca
mouse_strain,C57BL
pvalue,0.9183049
parameter_id,IMPC_EYE_008_001
parameter_name,Corneal opacity
gene_symbol,Nemp2
gene_accession_id,MGI:2444113
mouse_life_stage,Early adult
