analysis_id,66fau0fy9c3f65j
mouse_strain,129SV
parameter_id,MGP_CSD_067_001
pvalue,0.9330091
mouse_life_stage,Early adult
gene_symbol,BPIFA3
parameter_name,Snout size
gene_accession_id,MGI:1920638
