mouse_strain,C57BL
parameter_id,IMPC_EYE_027_001
mouse_life_stage,Early adult
gene_symbol,Slc28a2
analysis_id,85vwkp5z0s332je
gene_accession_id,MGI:1913105
parameter_name,Persistence of hyaloid vascular system
pvalue,0.7737926
