gene_symbol,Ap5s1
pvalue,0.9395326
parameter_name,Vibrissae - appearance
parameter_id,HMGULA_DYS_024_001
gene_accession_id,MGI:1916846
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,509l652yq839255
