analysis_id,56rlk135xb784s9
pvalue,0.7173734
parameter_id,ESLIM_007_001_003
mouse_strain,C57BL
parameter_name,Whole arena resting time
mouse_life_stage,E15.5
gene_symbol,Bmi1
gene_accession_id,MGI:88174
