parameter_name,Respiration Rate
pvalue,0.5835312
parameter_id,IMPC_ECH_018_001
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_accession_id,MGI:1914071
analysis_id,z12ra3bf8tnyl40
gene_symbol,Bcs1l
