parameter_name,Lower teeth appearance
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Lime1
gene_accession_id,MGI:1919949
parameter_id,IMPC_CSD_070_001
analysis_id,emxe4o70q008yn5
pvalue,0.9856939
