analysis_id,bq1pb693muz8j84
mouse_strain,C57BL
pvalue,0.0944038
parameter_name,Total B cells - % of CD45+
gene_symbol,Trp53i11
mouse_life_stage,Early adult
gene_accession_id,MGI:2670995
parameter_id,MGP_IMM_041_001
