analysis_id,855wt9hj1o52elr
mouse_strain,C57BL
gene_symbol,Slc17a9
pvalue,0.6808293
parameter_name,Calcium
mouse_life_stage,Early adult
gene_accession_id,MGI:1919107
parameter_id,IMPC_CBC_009_001
