analysis_id,02xug1tbmorkx0r
pvalue,0.4614786
gene_symbol,Eprs1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_011_001
gene_accession_id,MGI:97838
parameter_name,Iron
