parameter_name,cDCs CD11b Type
gene_accession_id,MGI:88461
analysis_id,in0ibek0m2n4w3f
gene_symbol,Col6a3
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_073_001
pvalue,0.6618478
mouse_strain,C57BL
