gene_symbol,Rhbg
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_026_001
pvalue,0.6624948
parameter_name,Retinal Blood Vessels Pattern
mouse_strain,C57BL
analysis_id,sz67tp0d7zk4bwp
gene_accession_id,MGI:1927379
