analysis_id,678932zqcodq153
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1915678
pvalue,0.9726931
parameter_name,Effector gd T cells - % of gd T cells
parameter_id,MGP_IMM_020_001
gene_symbol,Steap3
