gene_symbol,Pex19
mouse_strain,C57BL
gene_accession_id,MGI:1334458
parameter_name,Neural tube closure
mouse_life_stage,E18.5
analysis_id,92yj0818s1w6s80
parameter_id,IMPC_GEL_027_001
pvalue,0.6463338
