parameter_name,Edema
parameter_id,IMPC_GEO_064_001
gene_accession_id,MGI:109356
analysis_id,4450tkn9490r975
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_symbol,Snap23
pvalue,0.427523
