parameter_name,B1B Cells
gene_symbol,Mov10
gene_accession_id,MGI:97054
parameter_id,IMPC_IMM_064_001
pvalue,0.8885436
analysis_id,6q999wq6v3249w6
mouse_life_stage,Early adult
mouse_strain,C57BL
