gene_symbol,F2
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Percentage center time
parameter_id,JAX_OFD_022_001
pvalue,0.1072367
gene_accession_id,MGI:88380
analysis_id,x87l3o20h3i7518
