analysis_id,48wl3b2j2pwe0y3
mouse_life_stage,Early adult
gene_accession_id,MGI:3033992
parameter_name,Right total retinal thickness
pvalue,0.8326298
parameter_id,IMPC_EYE_062_001
mouse_strain,C57BL
gene_symbol,Cldn19
