analysis_id,o0qp2kl085hsp02
parameter_name,Limb coat/hair presence
gene_accession_id,MGI:1914309
parameter_id,MGP_CSD_030_001
mouse_strain,C57BL
pvalue,0.1315286
gene_symbol,Ola1
mouse_life_stage,Early adult
