analysis_id,rw3d7anh9sk0152
pvalue,0.2555215
parameter_name,Hindlimbs - size
gene_symbol,Car13
gene_accession_id,MGI:1931322
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_022_001
mouse_strain,C57BL
