parameter_name,Body position
parameter_id,ESLIM_008_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2442483
analysis_id,qy7p65xm38rccy6
pvalue,0.626912
gene_symbol,Usp37
mouse_strain,C57BL
