parameter_name,Centre resting time
gene_accession_id,MGI:1922082
parameter_id,ESLIM_007_001_011
analysis_id,wx461e9rf93b73v
pvalue,0.7675784
gene_symbol,Slc45a3
mouse_life_stage,Early adult
mouse_strain,C57BL
