parameter_name,Centre resting time
analysis_id,060826ls9xnjc71
mouse_life_stage,Early adult
gene_accession_id,MGI:2441730
pvalue,0.2128132
mouse_strain,C57BL
parameter_id,ESLIM_007_001_011
gene_symbol,Tbl1xr1
