gene_symbol,Rab3gap2
parameter_id,MGP_IMM_078_001
gene_accession_id,MGI:1916043
parameter_name,Resting Treg cells - % of CD45+
mouse_strain,C57BL
analysis_id,776r0qi9847q7di
mouse_life_stage,Early adult
pvalue,0.9250989
