parameter_id,MGP_CSD_030_001
mouse_life_stage,Early adult
analysis_id,o64h84ey851si06
pvalue,0.3944331
gene_symbol,Bach2
mouse_strain,C57BL
gene_accession_id,MGI:894679
parameter_name,Limb coat/hair presence
