gene_symbol,Rufy4
pvalue,0.07911693
mouse_strain,C57BL
analysis_id,n73ztvn94sb2qz6
parameter_id,IMPC_GEL_006_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3588214
parameter_name,Pericardium Morphology
