gene_symbol,Lime1
analysis_id,vcl4ir6o95s6766
mouse_strain,C57BL
gene_accession_id,MGI:1919949
mouse_life_stage,Early adult
parameter_name,Skull shape
parameter_id,CCP_XRY_001_001
pvalue,0.731114
