analysis_id,5m219c890ei8643
mouse_strain,C57BL
parameter_id,ESLIM_001_001_117
gene_accession_id,MGI:1914556
mouse_life_stage,Early adult
gene_symbol,Zc2hc1a
parameter_name,eye size
pvalue,0.9691261
