analysis_id,2wj5476x8558ds5
parameter_id,IMPC_IMM_046_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914256
gene_symbol,Cisd2
mouse_strain,C57BL
pvalue,0.4352761
parameter_name,DN CD44+CD62L- NKT cells
