parameter_name,Skull shape
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Arnt
pvalue,0.9816619
analysis_id,6e15x425q7x880k
gene_accession_id,MGI:88071
parameter_id,CCP_XRY_001_001
