analysis_id,55740w3v1a9286h
parameter_id,JAXLA_OFD_020_001
parameter_name,Distance travelled - total
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,Slc30a4
pvalue,0.6881953
gene_accession_id,MGI:1345282
