gene_symbol,Dcaf10
mouse_life_stage,Early adult
parameter_name,Platelet count
parameter_id,IMPC_HEM_008_001
pvalue,0.5671467
gene_accession_id,MGI:2140179
mouse_strain,C57BL
analysis_id,vn11yp00ev0o347
