gene_symbol,Pum1
gene_accession_id,MGI:1931749
parameter_name,Neutrophil percentage
pvalue,0.7472416
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_019_001
analysis_id,68t697et9c2j41g
