parameter_name,Head morphology
analysis_id,4145ca2h6t72gie
parameter_id,MGP_CSD_064_001
pvalue,0.1268119
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Zyg11b
gene_accession_id,MGI:2685277
