parameter_name,Clavicle
mouse_life_stage,Early adult
analysis_id,15h813c10wf80jr
gene_symbol,Psd4
gene_accession_id,MGI:2674093
mouse_strain,C57BL
pvalue,0.5178912
parameter_id,IMPC_XRY_007_001
