parameter_id,ICS_FEA_019_001
gene_symbol,Lurap1
mouse_strain,C55BL
gene_accession_id,MGI:1915325
analysis_id,vaya85g1o085i77
mouse_life_stage,Early adult
parameter_name,% Freezing duration pre-cue-2
pvalue,0.8228482
