parameter_name,Fat mass
mouse_life_stage,Early adult
gene_accession_id,MGI:1913284
parameter_id,IMPC_DXA_002_001
mouse_strain,C57BL
pvalue,0.5445289
analysis_id,43q0m93p44fvinb
gene_symbol,Psmd14
