analysis_id,810ymjfm47vi340
pvalue,0.6090181
parameter_name,Coat - color - abdomen
gene_accession_id,MGI:2673000
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_007_001
mouse_strain,C57BL
gene_symbol,Trim46
