parameter_name,Chloride
gene_accession_id,MGI:1339969
pvalue,0.752715
mouse_life_stage,Early adult
analysis_id,n5t3326d3o6mrxz
parameter_id,HMGULA_CBC_003_001
gene_symbol,Gja10
mouse_strain,C57BL
