analysis_id,9fk9ol09iij6t66
gene_symbol,Zyg11b
mouse_life_stage,E18.5
mouse_strain,C57BL
parameter_name,Total holepokes
pvalue,0.4606498
parameter_id,JAXLA_HBD_001_001
gene_accession_id,MGI:2685277
